gspread_row;use_area;tool_name;repo_owner;repo_name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived;open_issues;closed_issues
2;AutoML;AutoGluon;awslabs;autogluon;master;604;False;418;3243;81;Apache License 2.0;Python;False;89;356
3;AutoML;AutoKeras;keras-team;autokeras;master;1252;False;1284;7949;302;Apache License 2.0;Python;False;70;669
4;AutoML;AutoPyTorch;automl;Auto-PyTorch;master;128;False;152;1222;43;Apache License 2.0;Python;False;54;68
5;AutoML;AutoSKLearn;automl;auto-sklearn;master;2458;False;1017;5408;219;Other;Python;False;92;616
6;AutoML;MLBox;AxeldeRomblay;MLBox;master;1121;True;254;1221;67;Other;Python;False;14;73
7;CI/CD ;CML;iterative;cml;master;228;False;150;2370;44;Apache License 2.0;JavaScript;False;47;194
8;Cron Job Monitoring;minicron;jamesrwhite;minicron;master;1249;True;165;2344;83;GNU General Public License v3.0;Ruby;False;45;190
9;Cron Job Monitoring;healthchecks;healthchecks;healthchecks;master;1675;False;472;3765;92;BSD 3-Clause "New" or "Revised" License;Python;False;67;308
10;Data Exploration;Apache Zeppelin;apache;zeppelin;master;4869;False;2469;5250;339;Apache License 2.0;Java;False;0;0
11;Data Exploration;Jupyter Notebook;jupyter;notebook;master;12052;False;3402;8255;317;Other;JavaScript;False;1987;2226
12;Data Exploration;Polynote;polynote;polynote;master;2079;False;365;4144;96;Apache License 2.0;TypeScript;False;163;338
13;Data Management;dvc;iterative;dvc;master;6581;False;756;7909;120;Apache License 2.0;Python;False;461;2464
15;Data Management;Intake;intake;intake;master;1679;False;101;561;42;BSD 2-Clause "Simplified" License;Python;False;68;198
16;Data Management;lakeFS;treeverse;lakeFS;master;2361;False;134;1159;20;Apache License 2.0;Go;False;143;445
17;Data Processing;Airflow;apache;airflow;master;12399;False;8467;21482;739;Apache License 2.0;Python;False;799;2490
18;Data Processing;Hadoop;apache;hadoop;trunk;24925;False;7172;11589;1028;Apache License 2.0;Java;False;0;0
19;Data Processing;Spark;apache;Spark;master;30064;False;23840;29659;2108;Apache License 2.0;Scala;False;0;0
20;Data Processing;Dagster;dagster-io;dagster;master;7572;False;361;3238;65;Apache License 2.0;Python;False;572;2317
21;Data Validation;Cerberus;pyeve;cerberus;master;1145;False;211;2473;50;ISC License;Python;False;30;285
22;Data Visualization;dash;plotly;dash;dev;3669;False;1469;14505;399;MIT License;Python;False;423;580
24;Data Visualization;Facets;PAIR-code;facets;master;264;False;843;6571;276;Apache License 2.0;Jupyter Notebook;False;75;76
