gspread_row;use_area;tool_name;repo_owner;repo_name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived;open_issues;closed_issues
2;AutoML;AutoGluon;awslabs;autogluon;master;603;False;417;3230;81;Apache License 2.0;Python;False;86;354
3;AutoML;AutoKeras;keras-team;autokeras;master;1251;False;1285;7946;302;Apache License 2.0;Python;False;69;669
4;AutoML;AutoPyTorch;automl;Auto-PyTorch;master;128;False;151;1221;43;Apache License 2.0;Python;False;54;68
5;AutoML;AutoSKLearn;automl;auto-sklearn;master;2457;False;1017;5406;220;Other;Python;False;96;612
6;AutoML;MLBox;AxeldeRomblay;MLBox;master;1121;True;254;1221;67;Other;Python;False;14;73
7;CI/CD ;CML;iterative;cml;master;228;False;150;2367;44;Apache License 2.0;JavaScript;False;45;193
8;Cron Job Monitoring;minicron;jamesrwhite;minicron;master;1249;True;165;2344;83;GNU General Public License v3.0;Ruby;False;44;190
9;Cron Job Monitoring;healthchecks;healthchecks;healthchecks;master;1675;False;471;3760;92;BSD 3-Clause "New" or "Revised" License;Python;False;67;308
10;Data Exploration;Apache Zeppelin;apache;zeppelin;master;4867;False;2469;5248;340;Apache License 2.0;Java;False;0;0
11;Data Exploration;Jupyter Notebook;jupyter;notebook;master;12052;False;3397;8254;317;Other;JavaScript;False;1984;2226
12;Data Exploration;Polynote;polynote;polynote;master;2079;False;365;4144;96;Apache License 2.0;TypeScript;False;163;338
13;Data Management;dvc;iterative;dvc;master;6579;False;753;7897;121;Apache License 2.0;Python;False;460;2462
15;Data Management;Intake;intake;intake;master;1679;False;101;560;42;BSD 2-Clause "Simplified" License;Python;False;68;198
16;Data Management;lakeFS;treeverse;lakeFS;master;2361;False;135;1155;20;Apache License 2.0;Go;False;143;445
17;Data Processing;Airflow;apache;airflow;master;12367;False;8465;21460;740;Apache License 2.0;Python;False;814;2469
18;Data Processing;Hadoop;apache;hadoop;trunk;24921;False;7171;11588;1028;Apache License 2.0;Java;False;0;0
19;Data Processing;Spark;apache;Spark;master;30051;False;23831;29644;2109;Apache License 2.0;Scala;False;0;0
20;Data Processing;Dagster;dagster-io;dagster;master;7564;False;359;3228;65;Apache License 2.0;Python;False;577;2308
21;Data Validation;Cerberus;pyeve;cerberus;master;1145;False;211;2470;49;ISC License;Python;False;30;285
22;Data Visualization;dash;plotly;dash;dev;3669;False;1470;14497;399;MIT License;Python;False;424;579
24;Data Visualization;Facets;PAIR-code;facets;master;264;False;843;6569;276;Apache License 2.0;Jupyter Notebook;False;75;76
